id,purchase_method
__export__.product_template_4294_24881e2c,receive
__export__.product_template_4228_1a14b0b8,receive
__export__.product_template_4227_bc7ae637,receive
__export__.product_template_4033_fc7fa40e,receive
__export__.product_template_4029_53f62336,receive
__export__.product_template_4043_cc03578a,receive
__export__.product_template_4036_33f60ee2,receive
__export__.product_template_4148_b7d65197,receive
__export__.product_template_2905_3b661f62,receive
__export__.product_template_2907_b61b779b,receive
__export__.product_template_2908_88473e29,receive
__export__.product_template_4027_9f9601ba,receive
__export__.product_template_2904_9c4d7da6,receive
__export__.product_template_4026_8cee6caa,receive
__export__.product_template_4037_ee7f60ca,receive
__export__.product_template_4042_e4701c7d,receive
__export__.product_template_4044_2eeca275,receive
__export__.product_template_4285_57def23c,receive
__export__.product_template_2902_35895373,receive
__export__.product_template_3981_ad00bc00,receive
__export__.product_template_4167_1aa831cd,receive
__export__.product_template_4134_5137faf6,receive
__export__.product_template_4126_3f60a748,receive
__export__.product_template_4034_a34d80a1,receive
__export__.product_template_4154_3b85c917,receive
__export__.product_template_4041_19cc9afc,receive
__export__.product_template_4028_5d4d5915,receive
__export__.product_template_4040_34b8e2a6,receive
__export__.product_template_4022_ef4fc295,receive
__export__.product_template_2909_3369f414,receive
__export__.product_template_2911_1fdf6d51,receive
__export__.product_template_2912_535bbcfe,receive
__export__.product_template_2914_8c264de5,receive
__export__.product_template_3829_fd5a70c5,receive
__export__.product_template_3940_828ef2a5,receive
__export__.product_template_2920_82f6204e,receive
__export__.product_template_4142_812b365f,receive
__export__.product_template_3814_b66c0e8e,receive
__export__.product_template_3790_db8dcfb2,receive
__export__.product_template_4322_d01695d7,receive
__export__.product_template_3804_e3d2c4a5,receive
__export__.product_template_3924_b4955064,receive
__export__.product_template_4243_eae6f81b,receive
__export__.product_template_3915_963841be,receive
__export__.product_template_3909_acfb7260,receive
__export__.product_template_2944_4ad1f2ea,receive
__export__.product_template_4163_32133b66,receive
__export__.product_template_4303_0a0a1f35,receive
__export__.product_template_2933_1f4dca3f,receive
